video_path,label
d:/FinalProj/dataset\normal\WIN_20260315_09_03_08_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_03_28_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_03_43_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_03_55_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_04_08_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_04_23_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_04_40_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_04_56_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_05_38_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_05_50_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_06_04_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_06_18_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_07_31_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_07_44_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_08_00_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_09_35_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_09_49_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_10_01_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_10_40_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_10_53_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_11_47_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_11_59_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_12_12_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_12_25_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_12_37_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_14_28_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_14_50_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_15_09_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_15_35_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_15_56_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_16_26_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_16_53_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_17_32_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_18_13_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_18_40_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_20_02_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_20_33_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_20_53_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_21_26_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_21_45_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_22_23_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_22_45_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_23_06_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_23_25_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_23_47_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_24_06_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_24_27_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_24_45_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_25_02_Pro.mp4,0
d:/FinalProj/dataset\normal\WIN_20260315_09_25_19_Pro.mp4,0
d:/FinalProj/dataset\coerced\WIN_20260315_11_23_35_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_24_04_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_24_18_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_24_29_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_24_43_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_24_56_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_25_28_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_25_39_Pro.mp4,1
